name	offset	segment
_GTL_hdrp	0x00078d78	1
_GameInputMode	0x000795ec	1
_GrSq	0x0007ce9a	1
_GraphicsDriver	0x00099f7c	1
_Hasted	0x000795f2	1
_HomeDir	0x0007c220	1
_IgnoringInput	0x0006667a	1
_InVuln	0x00066666	1
_InvDisplay	0x00066118	1
_InvDownArrow	0x00066641	1
_InvUpArrow	0x00066640	1
_Inventory	0x00081a56	1
_IsJoy	0x00081e48	1
_JFontInfo	0x0009904c	1
_Keyarray	0x0000260a	1
_KeybUsed	0x00066680	1
_LastActiveMob	0x0007cdfc	1
_LeftPanel	0x00066614	1
_Lights	0x00081a30	1
_LogFile	0x00066604	1
_MP	0x00065834	1
_MapDirty	0x00066648	1
_MapObj_X	0x000795f0	1
_MapObj_Y	0x000795ee	1
_MaxPlayerAccel	0x00063450	1
_Missile	0x00081800	1
_MouseDx	0x00068750	1
_MouseDy	0x00068752	1
_MouseOn	0x00067606	1
_MoveCamera	0x0006667f	1
_MoveCrits	0x0006666a	1
_NewPlayerLevel	0x0007ce80	1
_NewPlayerX	0x0007ceba	1
_NewPlayerY	0x0007ceb6	1
_NewPlyFade	0x00066608	1
_Obj_Find_Head	0x0007cd64	1
_ObjectActing	0x000795e8	1
_ObjectActor	0x000795e0	1
_ObjectActorArg	0x000795e4	1
_OpenBag	0x0006663c	1
_OpenBagList	0x00066638	1
_P256	0x00098d4a	1
_PBot	0x0007ce82	1
_PHgt	0x0007cec8	1
_PLeft	0x0007ce88	1
_PMsHndle	0x00066668	1
_PN	0x00079704	1
_PT	0x000796f8	1
_PWid	0x0007ce20	1
_PalStore	0x0007cd60	1
_Palette_flag	0x00077d5e	1
_Palettes	0x00081830	1
_PgtoCmap	0x0006a3a3	1
_PickDist	0x000657e8	1
_PickMap	0x0007cdf4	1
_PickUp	0x00081e40	1
_PixelColor	0x00077d61	1
_PlayerBank	0x0007cecc	1
_PlayerDat	0x00081aa8	1
_PlayerFacing	0x0007cd04	1
_PlayerHeading	0x0007cd06	1
_PlayerInput	0x00066676	1
_PlayerLevel	0x0007cd02	1
_PlayerObj	0x0007cd88	1
_PlayerPitch	0x0007ce2e	1
_PlayerTurn	0x00066678	1
_PlayersMap	0x0007fa98	1
_PoisonWeap	0x000795f3	1
_Ppd	0x00081a8e	1
_RightButtonThing	0x0007ce8a	1
_RightPanel	0x00066681	1
_Run_FPS	0x00063456	1
